occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,time,under_investigation,investigating_command,investigation_status,publication_day,aircrafts_involved,takeoff,CONTAGEM,ano,dia,mes
38845,ACCIDENT,FLIGHT COMMANDS,PRAIA GRANDE,SP,BRAZIL,Nao informado,15:20:00,YES,SERIPA-4,FINISHED,2012-02-22,1,0.0,1,2009,23,12
38846,ACCIDENT,LOSS OF CONTROL IN THE AIR,SÃO FRANCISCO DE ASSIS,RS,BRAZIL,Nao informado,10:30:00,YES,SERIPA-5,FINISHED,2011-06-30,1,0.0,1,2009,29,12
38855,ACCIDENT,LOSS OF CONTROL IN THE AIR,ACEGUÁ,RS,BRAZIL,Nao informado,17:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2009,28,12
38856,ACCIDENT,UNKNOWN,CAROLINA,MA,BRAZIL,Nao informado,16:44:00,YES,SERIPA-1,FINISHED,2011-08-29,1,0.0,1,2009,23,12
38875,ACCIDENT,LOSS OF CONTROL ON THE GROUND,FORMIGA,MG,BRAZIL,Nao informado,17:00:00,YES,SERIPA-3,FINISHED,2015-07-15,1,1.0,1,2009,20,12
38896,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BARRA DO BUGRES,MT,BRAZIL,Nao informado,10:10:00,YES,SERIPA-6,FINISHED,2011-11-04,1,0.0,1,2009,25,11
38915,SERIOUS INCIDENT,ABOUT LANDING GEAR,SÃO GABRIEL DA CACHOEIRA,AM,BRAZIL,SWQE,20:05:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2009,07,10
38936,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,FLORIANÓPOLIS,SC,BRAZIL,Nao informado,14:50:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2009,28,11
38959,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,VÁRZEA GRANDE,MT,BRAZIL,Nao informado,19:20:00,YES,SERIPA-6,FINISHED,2013-12-17,1,0.0,1,2009,12,12
38995,ACCIDENT,FUEL STARVATION,ILHOTA,SC,BRAZIL,Nao informado,09:00:00,YES,SERIPA-5,FINISHED,2011-08-01,1,0.0,1,2009,17,12
39015,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,URUGUAIANA,RS,BRAZIL,SJDU,20:18:00,YES,SERIPA-5,FINISHED,2011-11-04,1,0.0,1,2009,19,11
39115,ACCIDENT,FUEL STARVATION,CORRENTINA,BA,BRAZIL,SNTY,17:40:00,YES,SERIPA-2,FINISHED,2011-07-21,1,0.0,1,2010,07,02
39156,SERIOUS INCIDENT,FIRE DURING THE FLIGHT,CASCAVEL,PR,BRAZIL,Nao informado,23:15:00,YES,SERIPA-5,FINISHED,2011-06-30,1,0.0,1,2010,10,01
39235,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITUMBIARA,GO,BRAZIL,Nao informado,17:20:00,YES,SERIPA-6,FINISHED,2011-08-29,1,0.0,1,2010,06,02
39255,ACCIDENT,LOSS OF CONTROL IN THE AIR,GUAPIRAMA,PR,BRAZIL,Nao informado,21:35:00,UNKNOWN,SERIPA-5,DESCONHECIDO,UNKNOWN,1,0.0,1,2009,11,10
39275,ACCIDENT,SYSTEM / COMPONENT FAILURE,SÃO PAULO,SP,BRAZIL,Nao informado,09:03:00,YES,SERIPA-4,FINISHED,2016-04-22,1,0.0,1,2010,10,02
39295,ACCIDENT,LOSS OF CONTROL IN THE AIR,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,21:09:00,UNKNOWN,SERIPA-3,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,06,02
39315,ACCIDENT,ANOTHER TYPES,CANUTAMA,AM,BRAZIL,Nao informado,20:22:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2010,15,01
39316,ACCIDENT,LANDING BEFORE THE TRACK AREA,RIO DO OESTE,SC,BRAZIL,Nao informado,17:55:00,YES,SERIPA-5,FINISHED,2011-05-18,1,0.0,1,2010,04,02
39317,ACCIDENT,HARD LANDING,RIO VERDE,GO,BRAZIL,SWLC,13:00:00,YES,SERIPA-6,FINISHED,UNKNOWN,1,0.0,1,2010,24,02
39318,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SENADOR JOSÉ PORFÍRIO,PA,BRAZIL,Nao informado,16:20:00,YES,SERIPA-1,FINISHED,2012-11-19,1,0.0,1,2010,25,01
39319,ACCIDENT,FUEL STARVATION,IPERÓ,SP,BRAZIL,Nao informado,11:25:00,YES,SERIPA-4,FINISHED,2011-06-30,1,0.0,1,2010,27,01
39320,ACCIDENT,LOSS OF CONTROL IN THE AIR,FAROL,PR,BRAZIL,Nao informado,18:30:00,YES,SERIPA-5,FINISHED,2010-12-06,1,0.0,1,2010,19,01
39321,ACCIDENT,LOSS OF CONTROL IN THE AIR,PONTES E LACERDA,MT,BRAZIL,Nao informado,13:00:00,YES,SERIPA-6,FINISHED,2011-05-18,1,0.0,1,2010,23,01
39322,ACCIDENT,LOSS OF CONTROL IN THE AIR,SÃO BERNARDO DO CAMPO,SP,BRAZIL,Nao informado,13:50:00,YES,SERIPA-4,FINISHED,2011-07-21,1,0.0,1,2010,26,01
39323,ACCIDENT,LOSS OF CONTROL IN THE AIR,CASIMIRO DE ABREU,RJ,BRAZIL,Nao informado,16:15:00,UNKNOWN,SERIPA-3,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,24,01
39326,ACCIDENT,ANOTHER TYPES,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,13:20:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2009,17,10
39385,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,BRASÍLIA,DF,BRAZIL,SBBR,17:00:00,YES,CENIPA,FINISHED,2011-08-01,1,0.0,1,2010,21,02
39405,ACCIDENT,LOSS OF CONTROL IN THE AIR,ITIQUIRA,MT,BRAZIL,Nao informado,11:30:00,YES,SERIPA-6,FINISHED,2011-07-21,1,0.0,1,2010,07,02
39487,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,PALMAS,TO,BRAZIL,SBPJ,16:50:00,YES,SERIPA-6,FINISHED,2014-10-13,1,0.0,1,2010,26,01
39507,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PRIMAVERA DO LESTE,MT,BRAZIL,Nao informado,17:00:00,YES,SERIPA-6,FINISHED,2011-06-30,1,0.0,1,2010,11,01
39527,ACCIDENT,LOW ALTITUDE MANEUVERS,LUCAS DO RIO VERDE,MT,BRAZIL,Nao informado,16:30:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,04,01
39687,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO UNIÃO,SC,BRAZIL,Nao informado,11:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2010,28,01
39707,SERIOUS INCIDENT,ABOUT LANDING GEAR,CANUTAMA,AM,BRAZIL,Nao informado,12:30:00,YES,SERIPA-7,FINISHED,2011-07-21,1,0.0,1,2010,09,01
39709,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,CURITIBA,PR,BRAZIL,SBBI,16:36:00,YES,SERIPA-5,FINISHED,2011-07-21,1,1.0,1,2010,23,01
39711,SERIOUS INCIDENT,ABOUT LANDING GEAR,PARÁ DE MINAS,MG,BRAZIL,Nao informado,20:00:00,UNKNOWN,SERIPA-3,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,10,01
39727,SERIOUS INCIDENT,ABOUT LANDING GEAR,VÁRZEA GRANDE,MT,BRAZIL,SBCY,20:42:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,1.0,1,2010,23,02
39887,ACCIDENT,SYSTEM / COMPONENT FAILURE,BELO HORIZONTE,MG,BRAZIL,SBPR,17:45:00,YES,SERIPA-3,FINISHED,2016-04-07,1,1.0,1,2010,09,03
39913,SERIOUS INCIDENT,ABOUT WINDOWS / DOORS / WINDSHIELD,CRUZEIRO DO SUL,AC,BRAZIL,SBCZ,06:17:00,YES,SERIPA-7,FINISHED,2011-12-21,1,1.0,1,2010,10,03
39916,SERIOUS INCIDENT,TIRE BURST,MANAUS,AM,BRAZIL,SBEG,19:35:00,YES,SERIPA-7,FINISHED,2013-12-30,1,1.0,1,2010,07,03
39930,SERIOUS INCIDENT,PHYSIOLOGICAL PROBLEMS,CURITIBA,PR,BRAZIL,SBCT,16:25:00,YES,SERIPA-5,FINISHED,2013-12-12,1,0.0,1,2010,16,02
39933,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BELO HORIZONTE,MG,BRAZIL,Nao informado,11:19:00,YES,SERIPA-3,FINISHED,2013-12-30,1,0.0,1,2010,26,02
39992,ACCIDENT,LEAVING THE TRACK,SÃO PAULO,SP,BRAZIL,SBMT,20:07:00,YES,SERIPA-4,FINISHED,2012-03-22,1,1.0,1,2010,17,02
39993,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,LONDRINA,PR,BRAZIL,SBLO,12:30:00,YES,SERIPA-5,FINISHED,2011-08-01,1,0.0,1,2010,11,03
40047,SERIOUS INCIDENT,AIR TRAFFIC,GUARULHOS,SP,BRAZIL,SBGR,21:14:00,YES,CENIPA,FINISHED,2010-03-29,1,0.0,1,2006,21,02
40067,ACCIDENT,LOSS OF CONTROL ON THE GROUND,PIRACICABA,SP,BRAZIL,SDPW,19:00:00,YES,SERIPA-4,FINISHED,2011-08-01,1,0.0,1,2009,18,11
40069,ACCIDENT,LOSS OF CONTROL ON THE GROUND,SÃO PAULO,SP,BRAZIL,SBMT,15:50:00,YES,SERIPA-4,FINISHED,2012-11-19,1,0.0,1,2010,10,01
40074,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,MAUÉS,AM,BRAZIL,SWMW,12:50:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2009,09,09
40087,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ANÁPOLIS,GO,BRAZIL,Nao informado,10:45:00,YES,SERIPA-6,FINISHED,2011-09-23,1,0.0,1,2010,26,03
40088,ACCIDENT,SLOW LANDING,UIRAMUTÃ,RR,BRAZIL,Nao informado,13:10:00,YES,SERIPA-7,FINISHED,2011-07-21,1,1.0,1,2010,19,03
40089,ACCIDENT,LOSS OF CONTROL IN THE AIR,VILA BELA DA SANTÍSSIMA TRINDADE,MT,BRAZIL,Nao informado,15:10:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,28,03
40107,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,GURUPÁ,PA,BRAZIL,Nao informado,14:30:00,YES,SERIPA-1,FINISHED,2016-03-18,1,0.0,1,2010,12,01
40127,SERIOUS INCIDENT,TIRE BURST,GOIÂNIA,GO,BRAZIL,SBGO,21:15:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,1.0,1,2009,02,09
40147,ACCIDENT,SYSTEM / COMPONENT FAILURE,UNIÃO DA VITÓRIA,PR,BRAZIL,Nao informado,14:20:00,YES,SERIPA-5,FINISHED,2012-02-22,1,1.0,1,2010,08,04
40148,ACCIDENT,FUEL STARVATION,CAMPO GRANDE,MS,BRAZIL,Nao informado,19:30:00,YES,SERIPA-4,FINISHED,2011-08-01,1,0.0,1,2010,19,03
40149,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,LUZIÂNIA,GO,BRAZIL,Nao informado,20:45:00,YES,SERIPA-6,FINISHED,2011-08-29,1,0.0,1,2010,21,03
40150,SERIOUS INCIDENT,ABOUT LANDING GEAR,SANTA MARIA,RS,BRAZIL,SBSM,17:20:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2010,10,03
40169,SERIOUS INCIDENT,ABOUT LANDING GEAR,SALVADOR,BA,BRAZIL,SBSV,19:11:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2009,26,12
40171,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO NACIONAL,TO,BRAZIL,Nao informado,18:45:00,YES,SERIPA-6,FINISHED,2011-05-18,1,0.0,1,2010,07,04
40213,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,21:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,09,04
40214,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,REDENÇÃO,PA,BRAZIL,Nao informado,19:30:00,YES,SERIPA-1,FINISHED,2011-08-29,1,0.0,1,2010,12,04
40250,ACCIDENT,LOSS OF CONTROL IN THE AIR,LUZIÂNIA,GO,BRAZIL,Nao informado,20:00:00,UNKNOWN,SERIPA-6,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,08,04
40264,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,CAMPO VERDE,MT,BRAZIL,Nao informado,16:30:00,YES,SERIPA-4,FINISHED,2012-03-22,1,0.0,1,2010,20,04
40267,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,VERA CRUZ,BA,BRAZIL,SNVR,11:00:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2010,04,04
40269,SERIOUS INCIDENT,ABOUT LANDING GEAR,ANÁPOLIS,GO,BRAZIL,SWNS,19:30:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,1.0,1,2010,07,04
40270,SERIOUS INCIDENT,FIRE ON THE GROUND,PIRASSUNUNGA,SP,BRAZIL,SDPY,20:15:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2010,15,04
40271,ACCIDENT,LOSS OF CONTROL IN THE AIR,RECIFE,PE,BRAZIL,SNEM,11:27:00,YES,SERIPA-2,FINISHED,2011-06-30,1,0.0,1,2010,21,04
40316,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,TIMÓTEO,MG,BRAZIL,Nao informado,14:10:00,YES,SERIPA-3,FINISHED,2013-11-12,1,0.0,1,2010,26,02
40325,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,EXU,PE,BRAZIL,Nao informado,10:20:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2010,19,02
40328,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CORRENTINA,BA,BRAZIL,Nao informado,17:25:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2010,15,04
40350,SERIOUS INCIDENT,FUEL STARVATION,UIRAMUTÃ,RR,BRAZIL,Nao informado,20:30:00,YES,SERIPA-7,FINISHED,2016-04-29,1,0.0,1,2010,17,04
40357,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,PIRASSUNUNGA,SP,BRAZIL,SDPY,20:15:00,YES,SERIPA-4,FINISHED,2015-02-09,1,0.0,1,2009,07,11
40358,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BLUMENAU,SC,BRAZIL,SSBL,22:05:00,YES,SERIPA-5,FINISHED,UNKNOWN,1,1.0,1,2009,20,12
40368,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,ALMENARA,MG,BRAZIL,Nao informado,17:00:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2009,12,11
40369,SERIOUS INCIDENT,ABOUT LANDING GEAR,PORTO ALEGRE,RS,BRAZIL,SBPA,10:00:00,YES,SERIPA-5,FINISHED,2015-02-09,1,0.0,1,2009,16,11
40370,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,VILA VELHA,ES,BRAZIL,Nao informado,14:20:00,YES,SERIPA-3,FINISHED,UNKNOWN,1,1.0,1,2009,17,10
40412,ACCIDENT,SYSTEM / COMPONENT FAILURE,MACAPÁ,AP,BRAZIL,Nao informado,21:55:00,UNKNOWN,SERIPA-1,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,16,04
40447,ACCIDENT,UNKNOWN,MANGARATIBA,RJ,BRAZIL,Nao informado,18:55:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2010,21,04
40554,ACCIDENT,LOSS OF CONTROL IN THE AIR,RESENDE,RJ,BRAZIL,Nao informado,18:47:00,YES,SERIPA-3,FINISHED,2012-10-17,1,0.0,1,2010,27,04
40572,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO ALEGRE,RS,BRAZIL,SBPA,14:10:00,YES,SERIPA-5,FINISHED,2015-06-06,1,0.0,1,2010,28,04
40573,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITAPETINGA,BA,BRAZIL,Nao informado,15:40:00,YES,SERIPA-2,FINISHED,2011-08-29,1,0.0,1,2010,01,05
40620,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,GUARULHOS,SP,BRAZIL,SBGR,15:50:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,0.0,1,2010,06,05
40621,SERIOUS INCIDENT,ABOUT LANDING GEAR,POÇOS DE CALDAS,MG,BRAZIL,SBPC,21:05:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2010,05,05
40652,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,CUIABÁ,MT,BRAZIL,SJCY,19:00:00,YES,SERIPA-6,FINISHED,UNKNOWN,1,1.0,1,2010,30,04
40732,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMAÇARI,BA,BRAZIL,Nao informado,15:05:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2010,08,05
40793,ACCIDENT,SYSTEM / COMPONENT FAILURE,PORTO NACIONAL,TO,BRAZIL,SBPN,16:41:00,YES,SERIPA-6,FINISHED,2011-08-29,1,1.0,1,2010,07,05
40823,SERIOUS INCIDENT,ABOUT LANDING GEAR,PALMAS,PR,BRAZIL,Nao informado,18:50:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2010,09,05
40839,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ITÁPOLIS,SP,BRAZIL,Nao informado,20:30:00,YES,SERIPA-4,FINISHED,UNKNOWN,1,0.0,1,2010,10,05
40843,ACCIDENT,ANOTHER TYPES,LUCAS DO RIO VERDE,MT,BRAZIL,Nao informado,18:30:00,UNKNOWN,SERIPA-6,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,08,05
40855,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MANAUS,AM,BRAZIL,Nao informado,18:58:00,YES,SERIPA-7,FINISHED,2011-08-01,1,0.0,1,2010,13,05
40933,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CÁCERES,MT,BRAZIL,SWKC,20:40:00,YES,SERIPA-6,FINISHED,UNKNOWN,1,0.0,1,2010,15,05
41053,ACCIDENT,TERRAIN COLLISION,CASCAVEL,PR,BRAZIL,SBCA,08:10:00,YES,SERIPA-5,FINISHED,2012-03-22,1,0.0,1,2010,19,05
41155,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUNDIAÍ,SP,BRAZIL,SBJD,19:35:00,YES,SERIPA-4,FINISHED,2012-07-03,1,0.0,1,2010,20,05
41177,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,Nao informado,20:05:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,1.0,1,2010,20,05
41179,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,DF,BRAZIL,SBBR,22:20:00,YES,SERIPA-6,FINISHED,2013-09-22,1,0.0,1,2010,20,05
41236,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,FELIZ DESERTO,AL,BRAZIL,Nao informado,09:55:00,YES,SERIPA-2,FINISHED,2013-12-30,1,0.0,1,2010,29,05
41274,ACCIDENT,ANOTHER TYPES,BOCAINA,SP,BRAZIL,Nao informado,12:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2010,27,05
41374,ACCIDENT,LOSS OF CONTROL IN THE AIR,CORRENTINA,BA,BRAZIL,Nao informado,14:00:00,YES,SERIPA-2,FINISHED,2011-08-29,1,0.0,1,2010,26,05
41377,ACCIDENT,HARD LANDING,SERRA NEGRA,SP,BRAZIL,Nao informado,17:30:00,YES,SERIPA-4,FINISHED,UNKNOWN,1,0.0,1,2010,14,02
41409,SERIOUS INCIDENT,AIRCRAFT HIT BY OBJECT,BAGÉ,RS,BRAZIL,Nao informado,14:20:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2010,17,05
41411,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,SÃO PAULO,SP,BRAZIL,SBMT,19:30:00,YES,SERIPA-4,FINISHED,2011-06-30,1,1.0,1,2010,08,06
41482,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,TRÊS FORQUILHAS,RS,BRAZIL,Nao informado,16:15:00,UNKNOWN,SERIPA-5,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,03,06
41488,ACCIDENT,LOSS OF CONTROL IN THE AIR,AQUIRAZ,CE,BRAZIL,Nao informado,12:50:00,UNKNOWN,SERIPA-2,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,13,06
41552,ACCIDENT,ANOTHER TYPES,NOVA MAMORÉ,RO,BRAZIL,Nao informado,14:25:00,YES,SERIPA-7,FINISHED,2012-08-29,1,0.0,1,2010,14,06
41569,ACCIDENT,LOSS OF CONTROL ON THE GROUND,SÃO FÉLIX DO XINGU,PA,BRAZIL,SNFX,23:30:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2010,12,06
41578,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,NOVA XAVANTINA,MT,BRAZIL,Nao informado,20:45:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,15,06
41670,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,IPATINGA,MG,BRAZIL,Nao informado,12:45:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,1.0,1,2010,28,06
41689,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ITAQUI,RS,BRAZIL,Nao informado,21:10:00,YES,SERIPA-5,FINISHED,2007-08-10,1,0.0,1,2007,23,01
41729,ACCIDENT,LOSS OF CONTROL IN THE AIR,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,13:05:00,UNKNOWN,SERIPA-3,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,25,06
41749,ACCIDENT,LOSS OF CONTROL IN THE AIR,RECIFE,PE,BRAZIL,SBRF,20:20:00,YES,SERIPA-2,FINISHED,2011-06-30,1,1.0,1,2010,04,07
41750,ACCIDENT,LOSS OF CONTROL IN THE AIR,RIO DE JANEIRO,RJ,BRAZIL,SBJR,19:53:00,YES,SERIPA-3,FINISHED,2011-12-21,1,0.0,1,2010,12,07
41751,ACCIDENT,FUEL STARVATION,CAMANDUCAIA,MG,BRAZIL,Nao informado,18:20:00,YES,SERIPA-3,FINISHED,2011-12-21,1,0.0,1,2010,10,07
41789,ACCIDENT,FUEL STARVATION,PAÇO DO LUMIAR,MA,BRAZIL,Nao informado,13:39:00,YES,SERIPA-1,FINISHED,2011-08-29,1,0.0,1,2010,10,07
41829,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,JUNDIAÍ,SP,BRAZIL,SBJD,19:20:00,YES,SERIPA-4,FINISHED,2015-07-21,1,1.0,1,2010,29,06
41832,SERIOUS INCIDENT,ABOUT LANDING GEAR,RONDONÓPOLIS,MT,BRAZIL,Nao informado,22:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,05,07
41834,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,PONTA GROSSA,PR,BRAZIL,SSZW,20:35:00,YES,SERIPA-5,FINISHED,2011-09-23,1,0.0,1,2010,10,07
41850,SERIOUS INCIDENT,AIRCRAFTS COLLISION ON THE GROUND,PALMAS,TO,BRAZIL,SBPJ,17:00:00,YES,SERIPA-6,FINISHED,2011-06-30,1,0.0,1,2010,15,07
41898,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,SANTO ÂNGELO,RS,BRAZIL,Nao informado,17:45:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2010,27,06
41900,ACCIDENT,SYSTEM / COMPONENT FAILURE,NOVO HORIZONTE,SP,BRAZIL,Nao informado,19:20:00,YES,SERIPA-4,FINISHED,2013-12-12,1,0.0,1,2010,16,07
41916,ACCIDENT,LOSS OF CONTROL IN THE AIR,SANTO ANTÔNIO DO LEVERGER,MT,BRAZIL,SWLV,16:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,18,07
41917,ACCIDENT,HARD LANDING,BRASÍLIA,DF,BRAZIL,Nao informado,18:30:00,YES,SERIPA-6,FINISHED,2011-07-21,1,0.0,1,2010,19,07
41960,ACCIDENT,LOSS OF CONTROL IN THE AIR,PALMAS,TO,BRAZIL,Nao informado,15:00:00,YES,SERIPA-6,FINISHED,2014-09-29,1,0.0,1,2010,20,07
42001,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BOITUVA,SP,BRAZIL,SDOI,18:00:00,YES,SERIPA-4,FINISHED,2015-06-06,1,1.0,1,2010,24,07
42071,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,AFUÁ,PA,BRAZIL,Nao informado,10:15:00,YES,SERIPA-1,FINISHED,2011-09-23,1,0.0,1,2010,24,07
42250,ACCIDENT,LOSS OF CONTROL ON THE GROUND,RIO DE JANEIRO,RJ,BRAZIL,SBRJ,12:26:00,YES,SERIPA-3,FINISHED,2012-02-22,1,1.0,1,2010,12,08
42251,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,PIRANHAS,GO,BRAZIL,Nao informado,18:30:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2010,05,08
42287,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SANTARÉM,PA,BRAZIL,Nao informado,20:20:00,YES,SERIPA-1,FINISHED,2011-08-29,1,0.0,1,2010,06,08
42289,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,SBMT,20:06:00,YES,SERIPA-4,FINISHED,2015-06-03,1,0.0,1,2010,29,07
42303,SERIOUS INCIDENT,FUEL STARVATION,CALDAS NOVAS,GO,BRAZIL,Nao informado,20:50:00,UNKNOWN,SERIPA-6,DESCONHECIDO,UNKNOWN,1,0.0,1,2010,07,08
42323,SERIOUS INCIDENT,LANDING BEFORE THE TRACK AREA,SÃO JOSÉ DO RIO PRETO,SP,BRAZIL,SBSR,12:01:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,0.0,1,2010,05,08
42365,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CÁCERES,MT,BRAZIL,Nao informado,03:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2007,14,01
42368,ACCIDENT,AIRCRAFTS COLLISION ON THE GROUND,SÃO LUÍS,MA,BRAZIL,Nao informado,11:00:00,YES,SERIPA-1,FINISHED,UNKNOWN,1,0.0,1,2010,24,08
42386,ACCIDENT,LANDING BEFORE THE TRACK AREA,VITÓRIA DA CONQUISTA,BA,BRAZIL,SBQV,17:40:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,1.0,1,2010,25,08
